,Subject,isspam
173,»õÇØ¸ÂÀÌ ¿õÁøÄÚ¿þÀÌ ¹«·áÃ¼Çè ºòÀÌº¥Æ®,spam 
174,Emory,spam 
175,Shares Maven News|etter,spam 
176,CheapPrice Phamraceuticals,spam 
177,"¾Õ¼­°¡´Â ±ÝÀ¶ ¼­ºñ½º ""ÃÖÀú ±Ý¸®"" ""Á÷ÀåÀÎ ´©±¸³ª"" Áö±Ý ½ÅÃ»ÇÏ¼¼¿ä~~ eei gug o  yckp eo",spam 
178,¡ÚÁ¢½Ã´Þ°í ÇÚµåÆù ¹Ù²ÙÀÚ!!Æ¯º°ÇÑ ÀÌº¥Æ®^^* pp tmtgnzvnmmx,spam 
179,Equity Sp0tlight,spam 
180,Emerging GrOwth st0ck PrOfile,spam 
181,"The Next ""H0me Run stOck?""",spam 
182,"¢»Á¾ÇÕ±ÝÀ¶ Ä«.µå.¿¬.Ã¼,Á÷ÀåÀÎ,°ø¹«¿ø,99%½ÂÀÎ1¾ï¿ø±îÁö hulculh xol vlvneoin",spam 
183,Now you can watch ON_Demand Movie channels_Free r7frh41204,spam 
184,RE: Linder Oil confirmations,ham 
185,=?Windows-1251?B?8uX17ejq4CDv8O7i5eTl7ej/IPHu4uX54O3o6Q==?=,spam 
186,2005 LOTTERY WINNING RESULT(CONTACT YOUR CLAIM AGENT_,spam 
187,Invest0rs Need T0 KnOw,spam 
188,´©±¸³ª °¡Àå ³·Àº ÀÌÀ²·Î °¡Àå ºü¸£°Ô ´ëÃâ¹ÞÀ¸¼¼¿ä. wflcvz,spam 
189,¥«­±¤W°ª¹F¨â¸U¤¸ªº°O¾Ðªk¥u­n1600¤¸³á!!                                             VRBOJEMSFN,spam 
190,Marketing Promotion - 494403,spam 
191,Precisi0n MicrO-Cap Rep0rt,spam 
192,¿ÃÕ VCD ÊÍ¹¡ÒÃ·Ó¸ØÃ¡Ô¨ º¹ÍÔ¹àµÍÃìà¹·,spam 
193,double D.|CK s|ze                         ,spam 
194,New Shares Pr0file,spam 
195,=?iso-2022-jp?B?g3SDRoNgg32DaoNBIJP8ie+Krpe5?=,spam 
196,Promotion for your business - 840514,spam 
197,Emory,spam 
198,meet a nice lady here,spam 
199,Internet Promotion - 096276,spam 
200,New product! Cialis soft tabs.,spam 
201,Emory,spam 
202,Çàµ§ °í±Þ½Å¹ß - °øÀåµµ °¡°ÝÀ¸·Î µå¸³´Ï´Ù. -,spam 
203,i must say thank you,spam 
204,Now you can watch ON_Demand Movie channels_Free y4ghu51217,spam 
205,CheapPrice Phamraceuticals,spam 
206,"=?iso-2022-jp?Q?=1B$B""(L$>5Bz$H>5Bz9-9p""#=1B(B8=1B$B@i=1B(B?=
 =?iso-2022-jp?Q?=1B$BK|1=5F<}F~J}K!Ds6!%a%k%^%,=1B(B?=
 =?iso-2022-jp?Q?=1B$B""#=3F7G/$O!Z#52/#9@iK|1=5F>Z=1B(B?=
 =?iso-2022-jp?Q?=1B$B5rM-%S%8%M%9![$GL\E*C#@.=1B(B?=
 =?iso-2022-jp?Q?6=1B$B@iK|1=5F>Z5rM-<}F~J}K!$""=1B(B?=
 =?iso-2022-jp?Q?=1B$B$j$^$9!!=1B(B-=1B$B#6@iK|1=5F0J2<G/=1B(B?=
 =?iso-2022-jp?Q?=1B$B<}$NJ}$KBg4=3F7^$5$l$F$$$^=1B(B?=
 =?iso-2022-jp?Q?=1B$B$9=1B(B---=1B$BO@$h$j>Z5r$G$9!#!!=1B(B?=",spam 
207,¡Ú99.99ÇÁ·Î!! Ã¤Á¤¾È ´àÀº ¿¬ÀÎ°ú È­»óÃ¤ÆÃ!!¡Ú   2234,spam 
208,PhamraceuticalsOnline,spam 
209,New Breed 0f Shares Trader,spam 
210,RE: Phone Conversation with TNC - Sun Devil Project,ham 
211,You've been approved at 3.25,spam 
212,This St0ck is ascending,spam 
213,Shares Maven News|etter,spam 
214,Èûµç ´ç½ÅÀ»À§ÇØ µ·À» ÁØºñÇß½À´Ï´Ù^^ oaw,spam 
215,¢Ñ¿õÁøÄÚ¿þÀÌ ¹«·áÃ¼Çè ½ÅÃ»ÇÏ¼¼¿ä¢¼¢¼ y lazdmbwwx,spam 
216,Now you can watch ON_Demand Movie channels_Free m7jqf24298,spam 
217,Aggressive Invest0rs P0rtf0liO,spam 
218,check This StOck - it's awsOme,spam 
219,This St0ck is ascending,spam 
220,Car Repair,ham 
221,RE: 90/110 Contracts,ham 
222,No ex@ms!  No classes!  No textbooks! ,spam 
223,Online Promotion - 282481,spam 
224,check This StOck - it's awsOme,spam 
225,Dainamait-Body,spam 
226,Promotion for your business - 840514,spam 
227,Promotion for your business - 840514,spam 
228,Jeff Sherrick Will Be Out of The Office,ham 
229,ATTN: HONORABLE CONTRACTOR,spam 
230,(±¤°í)¹ÏÀ»¼öÀÖ´Â ÈÄºÒÁ¦*°Ç°­ ¾¦´ã¹è*ÀÌ·±ºÐÇÑÅ× ±ÇÇØµå¸³´Ï´Ù °Ç°­ÀÌ °ÆÁ¤µÇ´Â ºÐ@   ,spam 
231,=?big5?Q?Fwd:=B6W=AC=D9=BF=FA=AA=BA=B9q=B8=DC=A5d~=B8=D5=B8=D5!!!?=,spam 
232,Promotion for your business - 840514,spam 
233,Enron Mentions - 08/04/01,ham 
234,Shares Maven News|etter,spam 
235,=?ISO-2022-JP?B?GyRCPz83dSRKJCo0aiQkGyhC?=,spam 
236,Emory,spam 
237,RE: Found match!,spam 
238,New Shares Pr0file,spam 
239,Need your medicine? We have them,spam 
240,"sincerely AD1PEX, XANAAX, TUSSI0NEEX, C1AL1IS, \/AL11UM, AMB11EN, \/11AGRRA FROM $65 commit attention quick",spam 
241,Shares Maven News|etter,spam 
242,"pill causes longer orga,sms",spam 
243,A Perfect Shares In An Imperfect WOr|d?,spam 
244,Aggressive Invest0rs P0rtf0liO,spam 
245,Finest online medication here,spam 
246,All your prescr[iption needs right here,spam 
247,We Sellls Viicodin Ryan.Slinger,spam 
248,United Way 2001 -  Building Houston's Future,ham 
249,Good Day,spam 
250,StOck 0ppurtunities - their sh0Oting,spam 
251,Emory,spam 
252,Affordable online pills here,spam 
253,Impact Equ-ity Rep0rt,spam 
254,Email Promotion - 661292,spam 
255,Linder Oil confirmations,ham 
256,Now you can watch ON_Demand Movie channels_Free m7jqf24298,spam 
257,st0ck P|ayer Emerging Equity Rep0rt,spam 
258,check This StOck - it's awsOme,spam 
259,Replica Watches for Low Prices,spam 
260,"¢Á½Å¼Ó,Á¤È® 1%´ë ½Ñ±Ý¸®·Î °áÁ¦´ë±Ý ÇØ°áÇÏ¼¼¿ä  fkqyttbkcvwiba dy",spam 
261,Rolex / Cartier / Frank Mueller / Bretling for sale !!   7556363,spam 
262,Top quality medication here,spam 
263,Invest0rs Need T0 KnOw,spam 
264,"
 =?Big5?B?tn3C6qGprEvDxKFCssWpR6FCveSzTqFCuXG4o6RKq0kyMDA1LzEvMTggpFekyA==?=
 10:09:20",spam 
265,Concerning cameras,spam 
266,"character AD00BE, AL1AS, P1NNACLE SYSTEM, NER0, APPLE, C0REL FROM $20 EACH noise glass",spam 
267,"[ÃßÃµ]êÅ1%´ë °¡Àå¾ÈÀüÇÑ´ëÃâ!¹«º¸Áõ,¹«¼­·ù(´çÀÏÀÔ±Ý) lxgg ttqjlpr",spam 
268,FW: Message from John and Louise - Enron Americas Management Offsite,ham 
269,"congo C1AL1IS, \/11AGRRA, XANAAX, AD1PEX, \/AL11UM, AMB11EN, TUSSI0NEEX FROM $65 gelation blindness",spam 
270,µ· ±ÞÇÏ½Ç¶§ ´ç½Å¿¡ ÈûÀÌµÇ¾î µå¸®°Ú½À´Ï´Ù ½ÅÃ»½Ã ¹«Á¶°Ç´ëÃâ(Á¶°Ç ¹«) rvymjgjpf,spam 
271,Precisi0n MicrO-Cap Rep0rt,spam 
272,Impact Equ-ity Rep0rt,spam 
273,Precisi0n MicrO-Cap Rep0rt,spam 
274,Promotion for your business - 840514,spam 
275,Action Requested:  Past Due Invoice,ham 
276,"¡Ü ±èÄ¡³ÃÀå°í, µðÄ« , È«»ï¿¢±â½º,ÈÞ´ëÆù  ¼³³¯ÀÌº¥Æ® ÀÀ¸ðÇÏ¼¼¿ä!! dqmqg",spam 
277,,ham 
278,Fast delivery prescripiton medicine,spam 
279,´ëÃâ½ÂÀÎÀ²1À§-Á÷ÀåÀÎ´ëÃâ(ÀºÇà±Ç/ÃÖÀú±Ý¸®) agjr,spam 
280,"Cure weight problem with Pharmaceuticals from the web.,..cochlea simplicial",spam 
281,Shop and save at discount pharmacy,spam 
282,½ºÅ²¾ÆÆ¼½ºÆ® ÀÚ°ÝÁõÀÔ´Ï´Ù. - ÃÊÃ¢±â¶ó ½±°í ¿©¼ººÐµé¿¡°Ô ºñÀüÀÖ½À´Ï´Ù.-,spam 
283,Contract Update,ham 
284,Tadalafil Soft Tabs - Great results!,spam 
285,¿ù 1%´ë °¡Àå ¾ÈÀüÇÑ ÃÊ°£Æí ´çÀÏ ´ëÃâ yzbj,spam 
286,Duke Football,ham 
287,Emerging GrOwth st0ck PrOfile,spam 
288,Finest online medication here,spam 
289,FW: June YTD 2001 Enron Organizational Stats ,ham 
290,Promotion for your business - 840514,spam 
291,DJ DIVA open dates 2005,spam 
292,"=?utf-8?q?Home Depot - Rolex R?=
 =?utf-8?q?eplicas?=",spam 
293,Shares Maven News|etter,spam 
294,=?GB2312?B?w+K30bXEyMu8yrnYz7XN+A==?=,spam 
295,Email Promotion - 661292,spam 
296,StOck 0ppurtunities - their sh0Oting,spam 
297,Emerging GrOwth st0ck PrOfile,spam 
298,Top quality medication here,spam 
299,Logo_Design_!   9    7  r zxdwaqv,spam 
300,Got leads?,ham 
301,come watch free paris hilton footage,spam 
302,OASIS Posting - West of Hatwai Winter 2001+02 Path Capability,ham 
303,Unregistered s0ftware f0und 0n your c0mputer,spam 
304,Micr0s0ft Update warning - January 21th,spam 
305,,spam 
306,shoot more spe.rm than she can drink,spam 
307,"Somma, Via-gra are Che.ap Here Rod.Hayslett",spam 
308,EnronOnline Desk coverage and Escalation procedures.,ham 
309,Unlicensed installati0n f0und 0n your pc,spam 
310,RE: Black Marlin,ham 
311,Re:,spam 
312,"ACOMODAÇÕES EM COPACABANA, IPANEMA OU LEBLON",spam 
313,Message subject,spam 
314,Re:hate being in Pa|n,spam 
315,"Re: RX APPROVED CIALIS Sun, 16 Sep 2001 00:04:01 -0600",spam 
316,Non-EOL gas transactions.,ham 
317,=?utf-8?B?RndkOiBbcGlrZV0gNjglLW9mZiBWaWNvZGluLiAgam9raW5nIGRyaWxs?=,spam 
318,×¢²á³ÉÁ¢Ïã¸Û¡¢ÃÀ¹ú¹«Ë¾£¬È«·Ñ8800/9200,spam 
319,c0me see Jenna Jameson fr33,spam 
320,Hi,spam 
321,This is it!!!,spam 
322,Mini production plants to resolve giant problem,spam 
323,Unlicensed installati0n f0und 0n your pc,spam 
324,Form - Let me know if this isn't right.  I did not see one that was not a sample or PDF.,ham 
325,Ïã¸Û¹«Ë¾×¢²áÈ«·Ñ8800,spam 
326,Take prescripiton medicine,spam 
327,FW: Mariner Management Meeting Minutes,ham 
328,Industry News,spam 
329,,ham 
330,FW: Final banner ads,ham 
331,Best adult feeds i have seen,spam 
332,"Somma, Via-gra are Che.ap Here Rod.Hayslett",spam 
333,=?utf-8?B?V3JpdGUgbWUgYmFjayBwbGVhc2U=?=,spam 
334,checking in.....hoping no one you know was lost or injured,ham 
335,House of Viicodin Mark_McConnell,spam 
336,"¡Ú¿õÁø ¹«·áÃ¼Çè ÀÌº¥Æ®.""·ê·çºñµ¥.¿¬¼ö±â.Á¤¼ö±â""°¡ °øÂ¥^^  an owyi",spam 
337,Re: FW: Enrico Bauli,ham 
338,,spam 
339,Industry News,spam 
340,Message subject,spam 
341,Micr0s0ft Update warning - January 21th,spam 
342,"Micr0sOft,Adobe,Macromed|a and many m0re",spam 
343,Secrets to life inside!,spam 
344,Unlicensed installati0n f0und 0n your pc,spam 
345,×¢²á³ÉÁ¢Ïã¸Û¡¢ÃÀ¹ú¹«Ë¾£¬È«·Ñ8800/9200,spam 
346,RQUEST FOR BUSINESS ASSISTANCE ,spam 
347,"Hello,",spam 
348,Superior prescripiton medicine,spam 
349,New email address added to your PayPal account,spam 
350,FW: Promotions and Transfers- Gas Logistics,ham 
351,Re:hate being in Pa|n,spam 
352,"PC GAMES FROM, MACR0MEDIA, M1CR0S0FT, SYMANNTEC $20 EACH  ",spam 
353,Prescriptions Without Doctors Appointment,spam 
354,,spam 
355,=?utf-8?B?TG9va2luZyBmb3IgY2hlYXAgaGlnaC1xdWFsaXR5IHNvZnR3YXJlPyAgcmVncmV0ZnVsbHkgZGlzcG9zYWxz?=,spam 
356,"¡ß""À¯¸Á ±¹°¡°øÀÎÀÚ°ÝÁõ"" À¯Åë°ü¸®»ç ¹«·áÀÚ·á ½ÅÃ»ÇÏ±â!!!@ rrhqjoeoti",spam 
357,EnronOnline Desk coverage and Escalation procedures.,ham 
358,,spam 
359,¸ðÅÍÀü½ÃÈ¸ ¼½½Ã °É- Èñ¾ß ³Ñ ÀÌ»Ú´ç obmtsbdnclyncpya,spam 
360,California Senate Formally Withdraws Contempt Actions Against Enron,ham 
361,ENA Government Affairs - September 2001 Update,ham 
362,,spam 
363,FW: Energy Market - ISDA Statement,ham 
364,Hey,spam 
365,"Hello,",spam 
366,Lots of creaming 18 year olds,spam 
367,Unlicensed installati0n f0und 0n your pc,spam 
368,,ham 
369,,spam 
370,´ÙÀÌ¾îÆ® Èñ¼Ò½Ä -¹«·áÁ¦°ø- (1000¸í ¼±Âø¼ø),spam 
371,¢Â Á¢½Ã´Þ°í ÇÚµåÆù ¹Ù²ÙÀÚ~ ½ºÄ«ÀÌ¶óÀÌÇÁ¸¸ »ý°¢ÇÏ¸é Áñ°Å¿öÁý´Ï´Ù.¢Â,spam 
372,"jacksonian PC GAMES FROM, MACR0MEDIA, M1CR0S0FT, SYMANNTEC $20 EACH casper bouncing",spam 
373,,ham 
374,End your wife's Med|cal pr0bLem now,spam 
375,=?utf-8?B?VXJnZW50IHVwZGF0ZQ==?=,spam 
376,,spam 
377,Looking for prescripiton medications?,spam 
378,California Update 9-14-2001,ham 
379,FW: Enrico Bauli,ham 
380,Monthly Report on SLA Activity,ham 
381,Greatest online medication here,spam 
382,=?utf-8?B?UG9wdWxhciBzb2Z0d2FyZSBhdCBsb3cgbG93IHByaWNlcy4gIGF2aWRpdHkgc2V4ZWQ=?=,spam 
383,,spam 
384,=?utf-8?B?UG9wdWxhciBzb2Z0d2FyZSBhdCBsb3cgbG93IHByaWNlcy4gIGFiYXNlcyBtZXRhYm9saXNt?=,spam 
385,,spam 
386,SOftware warning - January 3rd,spam 
387,³ÉÁ¢Ïã¸Û¼¯ÍÅ¹«Ë¾£¬È«Ì×·ÑÓÃ8800,spam 
388,Impress your girl with a huge cumshot!,spam 
389,¢¿°áÁ¦¹×¿¬Ã¼ÇØ°áÇÏ°í 36°³¿ùºÐÇÒ»óÈ¯ 5Ãµ¸¸¿ø±îÁö,spam 
390,OASIS Posting - Revised Reservation and Scheduling Procedures,ham 
391,Greatest online medication here,spam 
392,Special Session Clarification,ham 
393,Buy Viagra at factory direct prices,spam 
394,"Career Opportunity: Institutional Sales Associate - Dain Rauscher Wessels, Nation Wide.",spam 
395,check out free paris hilton footage,spam 
396,´ëÃâ°ü·Ã »ó´ãÀ» ÇØ µå¸³´Ï´Ù,spam 
397,Message subject,spam 
398,Industry News,spam 
399,Looking for prescripiton medications?,spam 
400,Confidential:  PAA - RZ,ham 
